MsgID.LOCAL_POSITION,3508.8260000,-1.2433356,-75.1481934,-0.0452447
MsgID.LOCAL_VELOCITY,3508.8260000,-0.0000425,0.0000513,0.0000156
MsgID.GLOBAL_POSITION,0.0000000,-122.3982983,37.7924696,0.0500000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,3509.0760000,-1.1965795,-75.1177216,-0.0506146
MsgID.LOCAL_VELOCITY,3509.0760000,-0.0000115,0.0000655,0.0000168
MsgID.GLOBAL_POSITION,0.0000000,-122.3982984,37.7924693,0.0610000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,3509.3270000,-1.2389786,-75.1222610,-0.0611850
MsgID.LOCAL_VELOCITY,3509.3270000,-0.0000130,0.0000638,0.0000169
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3982987,37.7924693,0.0720000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,3509.5770000,-1.2400378,-75.1518021,-0.0722112
MsgID.LOCAL_VELOCITY,3509.5770000,-0.0000429,0.0000519,0.0000160
MsgID.GLOBAL_POSITION,0.0000000,-122.3982970,37.7924693,0.0840000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,3509.8280000,-1.2394030,-75.0010910,-0.0841870
MsgID.LOCAL_VELOCITY,3509.8280000,-0.0000268,0.0000575,0.0000152
MsgID.GLOBAL_POSITION,0.0000000,-122.3982980,37.7924693,0.0940000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,3510.0780000,-1.2394031,-75.0867691,-0.0943849
MsgID.LOCAL_VELOCITY,3510.0780000,-0.0000356,0.0000618,0.0000148
MsgID.GLOBAL_POSITION,0.0000000,-122.3982984,37.7924686,0.1070000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,3510.3280000,-1.3094560,-75.1244736,-0.1072671
MsgID.LOCAL_VELOCITY,3510.3280000,-0.0000291,0.0000603,0.0000110
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3982969,37.7924680,0.1250000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,3510.5780000,-1.3830786,-74.9875183,-0.1254072
MsgID.LOCAL_VELOCITY,3510.5780000,0.0000106,0.0000705,0.0000185
MsgID.GLOBAL_POSITION,0.0000000,-122.3982973,37.7924691,0.1510000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
